id,name,city,district,address,mrt,broth_types,specialties,price_min,price_max,price_avg,wait_time,rating,tags,notes,source,status,data_quality
da-jiao-taipei,大角拉麵,台北市,大安區,忠孝東路四段216巷33弄6號1樓,忠孝敦化,雞白湯|醬油,醬油焦香拉麵|大角擔擔麵|鹽味兒童拉麵,180,300,290,免排隊,4.6,雞湯|免排|夏天友善|親子,雞香濃郁不膩，夏天免排隊優勢,IG @ramen_roamers,,detailed
yin-jia-zhongshan,隱家拉麵 中山店,台北市,中山區,,中山,雞白湯,柚香雞白湯,260,300,280,30分,4.7,柚香|泡系|果香|新開,泡系口感與果香風味,IG @ramen_roamers,,detailed
jin-long-taipei,金龍 Taipei,台北市,大安區,,忠孝復興,清湯|鹽味,山椒清湯拉麵,320,380,350,90分,4.8,山椒|排隊名店|14席|限定,⚠️ 驗證報告確認查無此店。台灣無任何「金龍Taipei」拉麵店紀錄，搜尋僅導向大阪道頓堀金龍拉麵。建議移除。,IG @ramen_roamers,查無此店,unverified
niu-bang-zhongli,牛浜,桃園市,中壢區,,,牛骨|雞白湯,牛骨拉麵|牛雞雙湯,280,320,300,20分,4.6,牛骨|稀有|雙湯頭,台灣少見牛骨系,台灣拉麵協會,,detailed
menya-itto-taiwan,麵屋一燈 台灣,台北市,,,,雞白湯|魚介,濃厚魚介雞白湯,290,330,310,45分,4.7,日本來台|魚介|排隊,,台灣拉麵愛好會,,detailed
sheng-wang-taipei,勝王,台北市,,,,創作|限定,每日限定,300,400,320,60分,4.9,創作系|限定|朝聖,,台灣拉麵愛好會,,detailed
yan-liu-taipei,塩琉,台北市,中正區,重慶南路一段116號,,鹽味,鹽味拉麵,240,280,260,25分,4.5,鹽味|清爽|淡麗,確認地址：重慶南路一段116號。另有林森分店：林森北路133巷7號。龍蝦清湯、干貝清湯為人氣品項。2023年度愛好會第2名。,台灣拉麵協會,營業中,detailed
menya-musashi,麵屋武藏 台灣,台北市,,,,豚骨|魚介,武藏拉麵,300,400,370,30分,4.4,豚骨魚介|日本品牌,確認營業中，全台6家分店：本店（台北車站M6出口誠品站前B1）、神山店（中山站）、光復店（國父紀念館站，2023底開幕）、信義店（Dream Plaza B2）、台中首店（JMall 2樓）、武骨店（Global Mall新左營3樓）。2023年營收1.2億元，平均客單價370元。,台灣拉麵協會,營業中,detailed
sheng-wang,勝王,台北市,中山區,林森北路306號,中山,創作|限定,每日限定|烹星,300,400,320,60分,4.9,三連霸冠軍|殿堂入|創作系|限定|2023第一,台灣拉麵愛好會2021-2023年度冠軍三連霸，累計6度受賞，入「殿堂」不再參選。舊址中山北路一段94號已搬遷。,台灣拉麵愛好會2023票選,營業中,detailed
totto-ramen-main,鳥人拉麵 台灣總店,台北市,大安區,復興南路一段107巷5弄9號,忠孝復興,雞白湯,特製鳥人白湯|辛白湯|味噌,250,320,280,30分,4.6,紐約來台|雞白湯|深夜營業|3分店,來自紐約，營業至凌晨4點,Google Maps,,detailed
menya-itto,麵屋一燈,台北市,中山區,南京東路一段29號,中山,雞白湯|魚介,濃厚魚介雞白湯,290,330,310,45分,4.7,日本來台|魚介|排隊名店,,台灣拉麵協會,,detailed
ippudo-taipei,一風堂,台北市,中山區,中山北路一段85號,中山,豚骨,白丸|赤丸,270,320,290,20分,4.3,連鎖|豚骨|日本品牌,全台約20-21家分店。北部12家為主力，包括台北大巨蛋店（旗艦Bar業態）、中山本店（拉麵居酒屋）等。近期新開大葉高島屋天母店(2025)、新店裕隆城店(2026)。中部有台中高鐵店、台中漢神洲際店(2026/4/10)。南部有台南高鐵店、台南南紡店、左營高鐵店、漢神巨蛋店。新光三越台中中港店可能已停業。,Google Maps,營業中,detailed
tunjing-ramen,屯京拉麵,台北市,中山區,中山北路一段141號,中山,豚骨|味噌,東京豚骨,240,290,260,15分,4.2,連鎖|東京風,全台6家分店：敦南店（首店）、中山店、新光三越A8店、林口三井店、新竹巨城店、台中誠品店。高雄夢時代店（2025/2歇業）及台南南紡店已關閉。台中以南目前僅剩台中誠品1家。2025/9舉辦登台14週年活動。,Google Maps,營業中,detailed
chikumo,麺屋千雲,台北市,中山區,林森北路105-1號,中山,雞白湯|煮干,雞白湯,280,340,300,25分,4.5,深夜|煮干,,Google Maps,,detailed
kanzuri-shinn,柑橘Shinn-Soba,台北市,大安區,仁愛路四段228-6號,,雞清湯|蛤蜊,柑橘雞湯|蛤蜊拉麵,280,350,310,40分,4.7,清湯|柑橘|創意,確認地址仁愛路四段228-6號。另有鴨蔥店（嘉興街315號）、魚水店（基隆路一段428號）。,2023票選,營業中,detailed
ramen-seven-bird,らーめん七面鳥,台中市,西區,,,雞白湯|濃厚,雞白湯,250,300,270,40分,4.8,台中名店|雞白湯|濃厚,台中拉麵天王,台中拉麵推薦,,detailed
sake-no-daisuke,鮭の大助,台中市,西區,向上路一段170號,,魚介|鮭魚,特濃鮭白湯,280,320,300,30分,4.7,鮭魚|七面鳥二店|創意,七面鳥二號店，免費白飯,台中拉麵推薦,,detailed
genki-shrimp,蝦蝦拉麵 元氣屋,台中市,西區,中美街419之4號,,蝦|魚介,濃厚蝦蝦沾麵,260,310,280,35分,4.6,蝦湯|沾麵|排隊,台灣最蝦的拉麵,台中拉麵地圖,,detailed
yoshi-ramen-taichung,有囍拉麵 中山店,台中市,中區,中山路82號,,豚骨|雞白湯,豚骨拉麵,220,280,250,20分,4.4,台中|平價,,Google Maps,,detailed
niu-an,牛庵,台中市,西屯區,文心路三段107-16號,,牛骨|咖哩,咖哩牛骨拉麵,270,320,290,25分,4.5,牛骨|咖哩|台中特色,狸匠體系，牛骨湯頭。2023年度愛好會第8名。確認地址：文心路三段107-16號,台中拉麵推薦,營業中,detailed
ramen-chu,RAMEN初,高雄市,三民區,正興路111號,,豚骨,蔥豚骨拉麵,230,270,250,25分,4.6,高雄四大天王|蔥拉麵|免費加麵,四大天王之「初」，蔥量超多,高雄拉麵推薦,,detailed
shodai-hanayama,初代花山,高雄市,左營區,,,牛骨,牛骨白湯|咖哩牛骨沾麵,280,340,310,30分,4.7,牛骨|高雄名店|限定,高雄少見牛骨白湯,高雄拉麵推薦,,detailed
ichibon-ramen,一本拉麵,高雄市,新興區,,,雞白湯,濃厚雞白湯,250,300,270,20分,4.5,雞白湯|濃厚|玉竹商圈,湯頭香滑濃稠，膠質豐富,高雄拉麵推薦,,detailed
wolong-ramen,臥龍拉麵,高雄市,前鎮區,林森三路197號,,豚骨|味噌|客製,客製化拉麵,200,280,240,15分,4.3,客製化|調味粉|炸雞,可自由搭配調味,高雄拉麵推薦,,detailed
hengbin-puli,埔里橫濱拉麵,南投縣,埔里鎮,慈恩街92號,,豚骨|醬油,,180,250,220,30分,4.4,南投|埔里|抽號碼牌,需現場抽單候位,Google Maps,,detailed
yilan-ramen,宜蘭拉麵代表,宜蘭縣,,,,魚介|豚骨,鯛魚拉麵|豆乳拉麵,250,320,280,,4.5,宜蘭|魚介|在地,台灣拉麵愛好會推薦宜蘭必吃,台灣拉麵愛好會,,detailed
ramen-nagi,Nagi豚骨拉麵凪,台北市,大安區,,,豚骨,,,,280,20分,4.5,豚王|黑王|赤王,,2023 Top85,,detailed
takano-ramen,鷹流拉麵,台北市,,,,豚骨|醬油,,,,260,20分,4.6,台灣拉麵教父|40+品牌,叉燒花瓣擺盤始祖,2023 Top85,,detailed
menya-sanshi,麵屋三士,台北市,,,,雞白湯,,,,290,20分,4.5,,,2023 Top85,,detailed
