id,name,city,district,address,mrt,broth_types,specialties,price_min,price_max,price_avg,wait_time,rating,tags,notes,source,badge
da-jiao-taipei,大角拉麵,台北市,大安區,忠孝東路四段216巷33弄6號1樓,忠孝敦化,雞白湯|醬油,醬油焦香拉麵|大角擔擔麵,270,340,290,免排隊,4.6,雞湯|免排,雞香濃郁不膩，夏天免排隊優勢,IG @ramen_roamers,
yin-jia-zhongshan,隱家拉麵 中山店,台北市,中山區,南京西路25巷28號,中山,雞白湯,柚香雞白湯,260,330,280,30分,4.7,柚香|泡系,泡系口感與果香風味,IG @ramen_roamers,
niu-bang-zhongli,牛浜,桃園市,中壢區,新生路88號,,牛骨|雞白湯,牛骨拉麵|牛雞雙湯,280,350,300,20分,4.6,牛骨|稀有,台灣少見牛骨系,台灣拉麵協會,
sheng-wang,勝王,台北市,中山區,林森北路306號,中山,創作|限定,每日限定,300,370,320,60分,4.9,創作系|限定,台灣拉麵愛好會2021-2023年度冠軍三連霸，累計6度受賞，入「殿堂」不再參選。舊址中山北路一段94號已搬遷。,台灣拉麵愛好會2023票選,
yan-liu-taipei,塩琉,台北市,中正區,重慶南路一段116號,台大醫院,鹽味,鹽味拉麵,240,310,260,25分,4.5,鹽味|清爽,確認地址：重慶南路一段116號。另有林森分店：林森北路133巷7號。龍蝦清湯、干貝清湯為人氣品項。2023年度愛好會第2名。,台灣拉麵協會,
menya-musashi,麵屋武藏 台灣,台北市,中正區,忠孝西路一段36號B1,台北車站,豚骨|魚介,武藏拉麵,300,370,320,30分,4.4,豚骨魚介|日本品牌,確認營業中，全台6家分店：本店（台北車站M6出口誠品站前B1）、神山店（中山站）、光復店（國父紀念館站，2023底開幕）、信義店（Dream Plaza B2）、台中首店（JMall 2樓）、武骨店（Global Mall新左營3樓）。2023年營收1.2億元，平均客單價370元。,台灣拉麵協會,
totto-ramen-main,鳥人拉麵 台灣總店,台北市,大安區,復興南路一段107巷5弄9號,忠孝復興,雞白湯,特製鳥人白湯|辛白湯,260,330,280,30分,4.6,紐約來台|雞白湯,來自紐約，營業至凌晨4點,Google Maps,
menya-itto,麵屋一燈,台北市,中山區,南京東路一段29號,中山,雞白湯|魚介,濃厚魚介雞白湯,290,360,310,45分,4.7,日本來台|魚介,,台灣拉麵協會,
ippudo-taipei,一風堂,台北市,中山區,中山北路一段85號,中山,豚骨,白丸|赤丸,270,340,290,20分,4.3,連鎖|豚骨,全台約20-21家分店。北部12家為主力，包括台北大巨蛋店（旗艦Bar業態）、中山本店（拉麵居酒屋）等。近期新開大葉高島屋天母店(2025)、新店裕隆城店(2026)。中部有台中高鐵店、台中漢神洲際店(2026/4/10)。南部有台南高鐵店、台南南紡店、左營高鐵店、漢神巨蛋店。新光三越台中中港店可能已停業。,Google Maps,
tunjing-ramen,屯京拉麵,台北市,中山區,中山北路一段141號,中山,豚骨|味噌,東京豚骨,240,310,260,15分,4.2,連鎖|東京風,全台6家分店：敦南店（首店）、中山店、新光三越A8店、林口三井店、新竹巨城店、台中誠品店。高雄夢時代店（2025/2歇業）及台南南紡店已關閉。台中以南目前僅剩台中誠品1家。2025/9舉辦登台14週年活動。,Google Maps,
chikumo,麺屋千雲,台北市,中山區,林森北路105-1號,中山,雞白湯|煮干,雞白湯,280,350,300,25分,4.5,深夜|煮干,,Google Maps,
